 name                                               | tier
 Fine Chum                                          | 4    
 Aurumite Machete                                   | 2    
 Sapphire Inlaid Exquisite Cloth Hand Power Source  | 5    
 Sturdy Plank Output                                | 3    
 Succulent Raw Dumpling                             | 5    
 Overloaded Exquisite Cloth Hand Power Source       | 5    
 Ferralith Rod                                      | 3    
 High Quality Lirium Head Power Source              | 5    
 Overloaded Sturdy Leather Leg Power Source         | 3    
 Schematic: Exquisite Overloaded Stone Module       | 5    
 Potted Beech Sapling                               | 1    
 Peerless Cloth Leg Power Source                    | 6    
 Peerless Untreated Plank                           | 6    
 Exquisite Brick                                    | 5    
 Ripped Notes                                       | -1   
 Perfected Aurumite Axe                             | 3    
 Sapphire Inlaid Rough Cloth Head Power Source      | 1    
 Pyrelite Machete                                   | 1    
 Salt                                               | 1    
 Flint Axe                                          | 1    
 Exquisite Crop Oil                                 | 5    
 Peerless Chilling Module                           | 6    
 Schematic: Perfected Elenvar Scissors              | 4    
 Ancient Enadarite                                  | -1   
 Jacket                                             | 1    
 Fine Mashed Bulbs                                  | 4    
 Decayed Elenvar Pot                                | 4    
 Peerless Fish Oil                                  | 6    
 Ancient Bones                                      | 3    
 Fine Sapphire                                      | 4    
 Rough Leather Straps                               | 1    
 Emberscale Sturgeon Filet                          | 5    
 Hexfin Perch Filet                                 | 6    
 Basic Embergrain Dough                             | 1    
 Elenvar Head Power Source                          | 4    
 Fine Pulsing Module                                | -1   
 Peerless Mushroom                                  | 6    
 Pyrelite Boots                                     | 1    
 Sturdy Stone Hand Power Source                     | 3    
 Ruby Inlaid Simple Leather Hand Power Source       | 2    
 Fine Chilling Module                               | 4    
 Decayed Elenvar Axe                                | 4    
 Schematic: Rough Overloaded Stone Module           | 1    
 Simple Pebbles Output                              | 2    
 Stone Brazier Blueprint                            | 1    
 Simple Repaired Ancient Mechanism                  | 2    
 Advanced Key                                       | 6    
 Decayed Aurumite Rod                               | 2    
 Simple Leather Hand Power Source                   | 2    
 Exquisite Medium Leather Output                    | 5    
 Proficient Hieroglyphs                             | 4    
 Ragged Dress                                       | 1    
 Emerald Inlaid Rough Stone Torso Power Source      | 1    
 Novice Hieroglyphs                                 | 2    
 Overloaded Aurumite Leg Power Source               | 2    
 Exquisite Repaired Ancient Wires                   | 5    
 Fine Embergrain Plant                              | 4    
 Perfected Pyrelite Scissors                        | 2    
 High Quality Rough Cloth Module                    | 1    
 Schematic: Perfected Lirium Rod                    | 5    
 Sturdy Leather Leg Power Source                    | 3    
 High Quality Sturdy Cloth Leg Power Source         | 3    
 Ocean Footwraps                                    | 1    
 Infused Starbulb                                   | 3    
 Hexmoth Silk Cloth                                 | -1   
 Simple Flower                                      | 2    
 Rough Stone Head Power Source                      | 1    
 Peerless Leather Hand Power Source                 | 6    
 Diamond Inlaid Pyrelite Head Power Source          | 1    
 Ambrosial Cooked Berries                           | 6    
 Perfected Ferralith Chisel                         | 4    
 Peerless Overloaded Module                         | -1   
 Peerless Stone Torso Power Source                  | 6    
 Perfected Lirium Knife                             | 6    
 Argent Nugget                                      | -1   
 Plain Meat Sandwich                                | 1    
 Infused Fish Oil                                   | 3    
 Fine Crop Oil                                      | 4    
 Simple Stone Leg Power Source                      | 2    
 Succulent Skewered Baitfish                        | 5    
 Fine Roasted Meat                                  | 4    
 Infused Clay Lump                                  | 3    
 Ruby Inlaid Simple Leather Module                  | 2    
 High Quality Rough Cloth                           | 1    
 High Quality Aurumite Ingot                        | 2    
 Schematic: Perfected Aurumite Hoe                  | 2    
 Savory Fish and Bulbs                              | 2    
 Simple Crop Oil                                    | 2    
 Exquisite Emerald                                  | 5    
 Decayed Ancient Hammer                             | -1   
 Rough Ruby                                         | 1    
 Fine Emerald                                       | 4    
 Sapphire Inlaid Peerless Cloth Hand Power Source   | 6    
 Uncut Rough Ruby                                   | 1    
 Peerless Chum                                      | 6    
 Basic Wispweave Products                           | 1    
 Exquisite Tool Handle                              | 5    
 Ancient Nails                                      | -1   
 Beginner's Building Blueprint                      | 1    
 Massive Simple Emerald                             | 2    
 Zesty Bread                                        | 3    
 Rough Unfired Forester's Pot                       | 1    
 Plain Bulb Rolls                                   | 1    
 Sapphire Inlaid Fine Cloth Module                  | 4    
 Schematic: Perfected Lirium Machete                | 5    
 Peerless Pebbles Output                            | 6    
 Ruby Inlaid Exquisite Leather Torso Power Source   | 5    
 Sturdy Tree Bark                                   | 3    
 Plain Fish and Bulbs                               | 1    
 Schematic: Perfected Ferralith Scissors            | 3    
 Overloaded Rough Cloth Torso Power Source          | 1    
 Proficient Stone Diagram Research                  | 4    
 Perfected Lirium Quill                             | 6    
 High Quality Simple Plank                          | 2    
 Rough Cloth Leg Power Source                       | 1    
 High Quality Pyrelite Leg Power Source             | 1    
 Perfected Elenvar Hammer                           | 5    
 Peerless Heated Torso Power Source                 | 6    
 Fine Raw Berry Pie                                 | 4    
 Elenvar Ingot                                      | 4    
 Fine Fertilizer                                    | 4    
 Red Plank Road Recipe                              | -1   
 Decayed Pyrelite Machete                           | 1    
 Decayed Elenvar Scissors                           | 4    
 Boots of Haste                                     | 1    
 Tiny Sturdy Ruby                                   | 3    
 Perfected Ferralith Knife Recipe                   | 3    
 Pyrelite Hammer                                    | 1    
 Elenvar Axe                                        | 4    
 Schematic: Perfected Aurumite Bow                  | 2    
 Decayed Aurumite Pot                               | 2    
 Infused Wispweave Plant                            | 3    
